Table,Nom source,Auteur,Date Publication,Langage,Pays,Description Contenu,Technique utilisé pour la collecte
s43014-019-0001-8,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-019-0001-8",Nicole Brown,2019/10/12 16:25:00,en,USA,Polyphenol composition and antioxidant potential of mint leaves,Automatic with colab
s43014-019-0002-7,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-019-0002-7",Marta Gallego,2019/08/26 19:59:53,en,USA,The relevance of dipeptides and tripeptides in the bioactivity and taste of dry-cured ham,Automatic with colab
s43014-019-0003-6,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-019-0003-6",Ying Liang,2019/08/28 22:42:16,en,USA,Phytochemicals and antioxidant activity in four varieties of head cabbages commonly consumed in China,Automatic with colab
s43014-019-0005-4,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-019-0005-4",Avtar Singh,2019/11/25 13:05:49,en,USA,Chitooligosaccharides from squid pen prepared using different enzymes: characteristics and the effect on quality of surimi gel during refrigerated storage,Automatic with colab
s43014-019-0006-3,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-019-0006-3",Iliani Patinho,2019/10/31 14:38:04,en,USA,"Use of Agaricus bisporus mushroom in beef burgers: antioxidant, flavor enhancer and fat replacing potential",Automatic with colab
s43014-019-0007-2,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-019-0007-2",Fang Ji,2019/11/14 18:09:24,en,USA,"Occurrence, toxicity, production and detection of Fusarium mycotoxin: a review",Automatic with colab
s43014-019-0008-1,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-019-0008-1",Chufei Tang,2019/11/20 11:58:12,en,USA,Edible insects as a food source: a review,Automatic with colab
s43014-019-0009-0,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-019-0009-0",Yong Li,2019/11/26 15:45:17,en,USA,Uptake and accumulation of di-n-butyl phthalate in six leafy vegetables under hydroponic conditions,Automatic with colab
s43014-019-0010-7,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-019-0010-7",Q. Q. Tian,2019/12/23 16:33:52,en,USA,Breeding Rice lines for physio-functional food through indica ‘Zhaxima’ × japonica ‘Nanjing 46’ haploid technique,Automatic with colab
s43014-019-0011-6,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-019-0011-6",Ronamae Bradford,2019/11/26 07:48:24,en,USA,Development of milk powder containing Lactobacillus plantarum NCIMB 8826 immobilized with prebiotic hi-maize starch and survival under simulated gastric and intestinal conditions,Automatic with colab
s43014-019-0012-5,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-019-0012-5",Nasr Ullah Khan,2019/12/23 18:15:55,en,USA,An update on the maize zein-gene family in the post-genomics era,Automatic with colab
s43014-019-0014-3,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-019-0014-3",Sirat Sandil,2019/12/24 02:03:45,en,USA,Effect of irrigation water containing arsenic on elemental composition of bean and lettuce plants cultivated in calcareous sandy soil,Automatic with colab
s43014-019-0016-1,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-019-0016-1",Ye Zou,2020/01/18 22:00:23,en,USA,"Effect of ultrasound power on extraction kinetic model, and physicochemical and structural characteristics of collagen from chicken lung",Automatic with colab
s43014-019-0017-0,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-019-0017-0",Feijie Li,2020/01/17 03:21:38,en,USA,Developing emulsion gels by incorporating Jerusalem artichoke inulin and investigating their lipid oxidative stability,Automatic with colab
s43014-020-00021-1,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-020-00021-1",Jiangfeng Song,2020/03/27 11:06:42,en,USA,"Changes in the sugars, amino acids and organic acids of postharvest spermine-treated immature vegetable soybean (Glycine max L. Merr.) as determined by 1H NMR spectroscopy",Automatic with colab
s43014-020-00022-0,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-020-00022-0",A. S. Roslan,2020/03/31 13:52:46,en,USA,Effect of drying methods and parameters on the antioxidant properties of tea (Camellia sinensis) leaves,Automatic with colab
s43014-020-00023-z,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-020-00023-z",Srikanth Earpina,2020/04/30 15:48:28,en,USA,Muscadine or amla extracts standardized to ellagic acid content ameliorate glucolipotoxicity associated β-cell dysfunction via inhibition of IL-1β and improved insulin secretion,Automatic with colab
s43014-020-00024-y,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-020-00024-y",Abrehem Abad,2020/04/28 10:23:19,en,USA,Compositional characteristics and oxidative stability of chia seed oil (Salvia hispanica L),Automatic with colab
s43014-020-00025-x,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-020-00025-x",Tao Gao,2020/05/25 17:39:52,en,USA,"The pyruvate dehydrogenase kinase 2 (PDK2) is associated with conidiation, mycelial growth, and pathogenicity in Fusarium graminearum",Automatic with colab
s43014-020-00026-w,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-020-00026-w",Savita Budhwar,2020/05/29 07:44:08,en,USA,Efficacy of germination and probiotic fermentation on underutilized cereal and millet grains,Automatic with colab
s43014-020-00027-9,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-020-00027-9",Disna Kumari,2020/06/26 19:44:40,en,USA,Finger millet porridges subjected to different processing conditions showed low glycemic index and variable efficacy on plasma antioxidant capacity of healthy adults,Automatic with colab
s43014-020-00028-8,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-020-00028-8",Katsunori Tanaka,2020/07/29 20:12:48,en,USA,Classification of archaic rice grains excavated at the Mojiaoshan site within the Liangzhu site complex reveals an Indica and Japonica chloroplast complex,Automatic with colab
s43014-020-00029-7,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-020-00029-7",Hongduo Bao,2020/07/29 00:46:31,en,USA,Transient carriage and low-level colonization of orally administrated lytic and temperate phages in the gut of mice,Automatic with colab
s43014-020-00030-0,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-020-00030-0",Sabrina Brendel,2020/08/14 09:54:47,en,USA,Hop-induced formation of ethyl esters in dry-hopped beer,Automatic with colab
s43014-020-00031-z,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-020-00031-z",Jiangfeng Song,2020/07/30 10:17:57,en,USA,"Correction to: Changes in the sugars, amino acids and organic acids of postharvest sperminetreated immature vegetable soybean (Glycine max L. Merr.) as determined by 1H NMR spectroscopy",Automatic with colab
s43014-020-00032-y,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-020-00032-y",Arnau Vilas-Franquesa,2020/08/13 14:31:54,en,USA,Potential of sea buckthorn-based ingredients for the food and feed industry – a review,Automatic with colab
s43014-020-00033-x,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-020-00033-x",Franklin Bonilla,2020/09/16 03:19:21,en,USA,Influence of energy removal rate on the quality of minced meat from undersized crawfish during frozen storage,Automatic with colab
s43014-020-00034-w,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-020-00034-w",Yuan Gan,2020/08/28 20:11:47,en,USA,Establishment of a model of Mycoplasma hyopneumoniae infection using Bama miniature pigs,Automatic with colab
s43014-020-00035-9,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-020-00035-9",Xian Chen,2020/09/22 23:43:46,en,USA,Evaluation of suitable reference genes for normalization of quantitative real-time PCR analysis in rice plants under Xanthomonas oryzae pv. oryzae--infection and melatonin supplementation,Automatic with colab
s43014-020-00036-8,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-020-00036-8",Shu Yao,2020/09/28 20:50:50,en,USA,Effects of soluble starch synthase genes on eating and cooking quality in semi waxy japonica rice with Wxmp,Automatic with colab
